season,franchise,massey_rating,bt_rating,bayes_rating,bayes_rating_se,elo_rating,massey_rating_z,bt_rating_z,bayes_rating_z,elo_rating_z,massey_rating_display,bt_rating_display,bayes_rating_display,elo_rating_display
1970,ARI,5.378864727373958,0.3835138379226998,3.6851208786806864,3.0642804721887016,1518.9840464706406,0.8309584288573852,0.6421532383566303,0.7926688984903923,0.39364507212529093,58.30958428857385,56.4215323835663,57.926688984903926,53.93645072125291
1970,ATL,-2.391382470054654,-0.4779204053134364,-2.2797677783359696,3.052714288399198,1465.4355599191067,-0.3694347266256427,-0.8002270207798714,-0.49037767638016244,-0.7167134535651201,46.30565273374357,41.997729792201284,45.09622323619838,42.8328654643488
1970,BUF,-11.424437721917329,-0.907507299297592,-7.742679808130979,3.063481974576816,1438.6194350870471,-1.7649138435608533,-1.519524704069969,-1.665449160808051,-1.2727611544576638,32.350861564391465,34.80475295930031,33.34550839191949,37.27238845542336
1970,CHI,1.7291576294801818,-0.0508548151425915,0.6412040066884681,3.0518442737374203,1486.2994797257293,0.26713036669749224,-0.08515099326461627,0.1379228770024336,-0.28408813157194784,52.67130366697492,49.14849006735384,51.37922877002433,47.15911868428052
1970,CIN,-0.2440981353984891,-0.0207035815147814,0.4926663609046551,2.981250134078957,1513.052352007463,-0.037709705180999094,-0.03466595100533775,0.10597245368010187,0.2706479914768715,49.62290294819001,49.65334048994662,51.05972453680102,52.706479914768714
1970,CLE,0.7633342250271471,0.0295968912885756,0.9335037153117448,3.053676648650256,1497.3287849898866,0.11792432798943081,0.049556854817005884,0.2007964965365709,-0.05538917253202337,51.17924327989431,50.495568548170056,52.00796496536571,49.446108274679766
1970,DAL,7.379007765762063,0.7453915952074095,5.15388634540658,2.863667319643432,1561.5509507730176,1.1399522037353136,1.248079154845853,1.1086001102413492,1.276294202813715,61.39952203735314,62.48079154845853,61.08600110241349,62.76294202813715
1970,DEN,-2.339424804894428,-0.3438814823530844,-1.4287404915535284,3.0509738238501707,1466.7851625188457,-0.36140800314458615,-0.5757930631656126,-0.30732184613542646,-0.6887286709985394,46.38591996855414,44.24206936834388,46.926781538645734,43.112713290014604
1970,DET,11.538318535495256,0.763992103436198,7.849074591730515,2.982035167556309,1548.6980585602314,1.7825068165624094,1.2792237327283416,1.688334661364865,1.009782124372196,67.82506816562409,62.79223732728342,66.88334661364865,60.09782124372196
1970,GB,-1.547434967057702,-0.1710800837815946,-2.223950195501873,3.053179412543958,1483.0438653390502,-0.23905678877576503,-0.28645545207372064,-0.4783713234386709,-0.351595159751551,47.60943211224235,47.13544547926279,45.21628676561329,46.48404840248449
1970,IND,2.4932193396662465,0.8369833117383677,2.953100464036679,2.865279270254327,1595.7339111029144,0.38516708084186685,1.4014397681044861,0.6352114269851209,1.985097455340948,53.85167080841867,64.01439768104487,56.35211426985121,69.85097455340949
1970,KC,1.732715263167865,0.2714802564553605,1.5341755451151542,3.0515355726342133,1517.309216823724,0.26767997072165045,0.4545648907402299,0.3300009089180007,0.35891652053974454,52.6767997072165,54.545648907402295,53.30000908918001,53.58916520539744
1970,LAC,-0.2985238144754333,0.0573104384863307,0.0087685289853468,3.051202843261956,1494.5367438289047,-0.0461177018619927,0.09596024973955036,0.0018861091511025196,-0.11328374447648389,49.53882298138007,50.9596024973955,50.01886109151103,48.86716255523516
1970,LAR,9.137278930357674,0.6491673471016884,6.547031362370374,3.051422326406787,1541.769198488089,1.4115801993236912,1.0869618588854004,1.4082653756123513,0.8661082439346005,64.11580199323691,60.869618588854,64.0826537561235,58.661082439346
1970,MIA,-0.9188433538307392,0.2715156471698937,0.5296879839098352,2.996912872054772,1539.689318252528,-0.14194828618380317,0.4546241487374597,0.11393579873551529,0.8229807364979981,48.580517138161966,54.546241487374594,51.139357987355154,58.22980736497998
1970,MIN,12.889757780891248,1.0243871322792664,9.21980516137383,2.983015501905314,1571.1201461460687,1.9912850418885415,1.7152275857555372,1.9831785827819735,1.4747169473340302,69.91285041888541,67.15227585755537,69.83178582781974,64.7471694733403
1970,NE,-14.221858258420976,-1.0787237967764087,-10.147015731703709,3.0645566380371205,1416.9409354696195,-2.197075701440728,-1.8062085664088887,-2.182621424861866,-1.7222772551829715,28.02924298559272,31.937914335911113,28.17378575138134,32.77722744817029
1970,NO,-8.498404661664715,-1.0180009129916394,-7.271334980487465,3.0518047558405725,1423.8451101585522,-1.3128831720776293,-1.7045345390101634,-1.5640629654463705,-1.5791152402988595,36.87116827922371,32.95465460989837,34.35937034553629,34.208847597011406
