season,date,week,game_type,home_franchise,away_franchise,home_score,away_score,neutral_site,overtime,source,margin,game_uid
1970,1970-10-25,,REG,ATL,NO,32,14,False,,fivethirtyeight,18,G000071
1970,1970-10-25,,REG,NYJ,BUF,6,10,False,,fivethirtyeight,-4,G000072
1970,1970-10-25,,REG,WSH,CIN,20,0,False,,fivethirtyeight,20,G000073
1970,1970-10-25,,REG,LAC,TEN,31,31,False,,fivethirtyeight,0,G000074
1970,1970-10-25,,REG,SF,DEN,19,14,False,,fivethirtyeight,5,G000075
1970,1970-10-25,,REG,OAK,PIT,31,14,False,,fivethirtyeight,17,G000076
1970,1970-10-26,,REG,MIN,LAR,13,3,False,,fivethirtyeight,10,G000077
1970,1970-11-01,,REG,DAL,PHI,21,17,False,,fivethirtyeight,4,G000078
1970,1970-11-01,,REG,CLE,LAC,10,27,False,,fivethirtyeight,-17,G000079
1970,1970-11-01,,REG,ATL,CHI,14,23,False,,fivethirtyeight,-9,G000080
1970,1970-11-01,,REG,ARI,TEN,44,0,False,,fivethirtyeight,44,G000081
1970,1970-11-01,,REG,NO,LAR,17,30,False,,fivethirtyeight,-13,G000082
1970,1970-11-01,,REG,SF,GB,26,10,False,,fivethirtyeight,16,G000083
1970,1970-11-01,,REG,DET,MIN,17,30,False,,fivethirtyeight,-13,G000084
1970,1970-11-01,,REG,DEN,WSH,3,19,False,,fivethirtyeight,-16,G000085
1970,1970-11-01,,REG,IND,MIA,35,0,False,,fivethirtyeight,35,G000086
1970,1970-11-01,,REG,NYJ,NYG,10,22,False,,fivethirtyeight,-12,G000087
1970,1970-11-01,,REG,NE,BUF,10,45,False,,fivethirtyeight,-35,G000088
1970,1970-11-01,,REG,KC,OAK,17,17,False,,fivethirtyeight,0,G000089
1970,1970-11-02,,REG,PIT,CIN,21,10,False,,fivethirtyeight,11,G000090
1970,1970-11-08,,REG,ARI,NE,31,0,False,,fivethirtyeight,31,G000091
1970,1970-11-08,,REG,BUF,CIN,14,43,False,,fivethirtyeight,-29,G000092
1970,1970-11-08,,REG,NO,DET,19,17,False,,fivethirtyeight,2,G000093
1970,1970-11-08,,REG,LAC,DEN,24,21,False,,fivethirtyeight,3,G000094
1970,1970-11-08,,REG,LAR,ATL,10,10,False,,fivethirtyeight,0,G000095
1970,1970-11-08,,REG,WSH,MIN,10,19,False,,fivethirtyeight,-9,G000096
1970,1970-11-08,,REG,OAK,CLE,23,20,False,,fivethirtyeight,3,G000097
1970,1970-11-08,,REG,PIT,NYJ,21,17,False,,fivethirtyeight,4,G000098
1970,1970-11-08,,REG,PHI,MIA,24,17,False,,fivethirtyeight,7,G000099
1970,1970-11-08,,REG,NYG,DAL,23,20,False,,fivethirtyeight,3,G000100
1970,1970-11-08,,REG,KC,TEN,24,9,False,,fivethirtyeight,15,G000101
1970,1970-11-08,,REG,CHI,SF,16,37,False,,fivethirtyeight,-21,G000102
1970,1970-11-09,,REG,GB,IND,10,13,False,,fivethirtyeight,-3,G000103
1970,1970-11-15,,REG,IND,BUF,17,17,False,,fivethirtyeight,0,G000104
1970,1970-11-15,,REG,CIN,CLE,14,10,False,,fivethirtyeight,4,G000105
1970,1970-11-15,,REG,LAR,NYJ,20,31,False,,fivethirtyeight,-11,G000106
1970,1970-11-15,,REG,PHI,ATL,13,13,False,,fivethirtyeight,0,G000107
1970,1970-11-15,,REG,PIT,KC,14,31,False,,fivethirtyeight,-17,G000108
1970,1970-11-15,,REG,GB,CHI,20,19,False,,fivethirtyeight,1,G000109
1970,1970-11-15,,REG,DEN,OAK,19,24,False,,fivethirtyeight,-5,G000110
1970,1970-11-15,,REG,NE,LAC,14,16,False,,fivethirtyeight,-2,G000111
1970,1970-11-15,,REG,MIN,DET,24,20,False,,fivethirtyeight,4,G000112
1970,1970-11-15,,REG,TEN,SF,20,30,False,,fivethirtyeight,-10,G000113
1970,1970-11-15,,REG,NYG,WSH,35,33,False,,fivethirtyeight,2,G000114
1970,1970-11-15,,REG,MIA,NO,21,10,False,,fivethirtyeight,11,G000115
