season,franchise,conference,division
1979,TEN,AFC,Central
1979,BUF,AFC,East
1979,IND,AFC,East
1979,MIA,AFC,East
1979,NE,AFC,East
1979,NYJ,AFC,East
1979,DEN,AFC,West
1979,KC,AFC,West
1979,LAC,AFC,West
1979,OAK,AFC,West
1979,SEA,AFC,West
1979,CHI,NFC,Central
1979,DET,NFC,Central
1979,GB,NFC,Central
1979,MIN,NFC,Central
1979,TB,NFC,Central
1979,ARI,NFC,East
1979,DAL,NFC,East
1979,NYG,NFC,East
1979,PHI,NFC,East
1979,WSH,NFC,East
1979,ATL,NFC,West
1979,LAR,NFC,West
1979,NO,NFC,West
1979,SF,NFC,West
1980,CIN,AFC,Central
1980,CLE,AFC,Central
1980,PIT,AFC,Central
1980,TEN,AFC,Central
1980,BUF,AFC,East
1980,IND,AFC,East
1980,MIA,AFC,East
1980,NE,AFC,East
1980,NYJ,AFC,East
1980,DEN,AFC,West
1980,KC,AFC,West
1980,LAC,AFC,West
1980,OAK,AFC,West
1980,SEA,AFC,West
1980,CHI,NFC,Central
1980,DET,NFC,Central
1980,GB,NFC,Central
1980,MIN,NFC,Central
1980,TB,NFC,Central
1980,ARI,NFC,East
1980,DAL,NFC,East
1980,NYG,NFC,East
1980,PHI,NFC,East
1980,WSH,NFC,East
1980,ATL,NFC,West
1980,LAR,NFC,West
1980,NO,NFC,West
1980,SF,NFC,West
1981,CIN,AFC,Central
1981,CLE,AFC,Central
1981,PIT,AFC,Central
1981,TEN,AFC,Central
1981,BUF,AFC,East
1981,IND,AFC,East
1981,MIA,AFC,East
1981,NE,AFC,East
1981,NYJ,AFC,East
1981,DEN,AFC,West
1981,KC,AFC,West
1981,LAC,AFC,West
1981,OAK,AFC,West
1981,SEA,AFC,West
1981,CHI,NFC,Central
1981,DET,NFC,Central
1981,GB,NFC,Central
1981,MIN,NFC,Central
1981,TB,NFC,Central
1981,ARI,NFC,East
1981,DAL,NFC,East
1981,NYG,NFC,East
1981,PHI,NFC,East
1981,WSH,NFC,East
1981,ATL,NFC,West
1981,LAR,NFC,West
1981,NO,NFC,West
1981,SF,NFC,West
1982,CIN,AFC,Central
1982,CLE,AFC,Central
1982,PIT,AFC,Central
1982,TEN,AFC,Central
1982,BUF,AFC,East
1982,IND,AFC,East
1982,MIA,AFC,East
1982,NE,AFC,East
1982,NYJ,AFC,East
1982,DEN,AFC,West
1982,KC,AFC,West
1982,LAC,AFC,West
1982,OAK,AFC,West
1982,SEA,AFC,West
1982,CHI,NFC,Central
1982,DET,NFC,Central
1982,GB,NFC,Central
1982,MIN,NFC,Central
1982,TB,NFC,Central
1982,ARI,NFC,East
1982,DAL,NFC,East
1982,NYG,NFC,East
1982,PHI,NFC,East
