franchise,season,era,games,wins,losses,ties,record,explosive_per_game,explosive_allowed_per_game,explosive_diff_per_game,explosive_rate_per_play,turnover_diff_per_game,points_per_game,margin_per_game,bayes_rating_z,won_super_bowl,reached_super_bowl
CLE,2022,2017-2025,17,7,10,0,7-10-0,7.117647058823529,6.823529411764706,0.29411764705882354,0.11010009099181074,0.058823529411764705,21.235294117647058,-1.1764705882352942,-0.1523496552418768,False,False
MIN,2025,2017-2025,17,9,8,0,9-8-0,5.411764705882353,5.117647058823529,0.29411764705882354,0.0975609756097561,0.5882352941176471,20.235294117647058,0.6470588235294118,-0.0146316285109019,False,False
LAR,2023,2017-2025,17,10,7,0,10-7-0,6.294117647058823,6.0,0.29411764705882354,0.09807516040329972,0.17647058823529413,23.764705882352942,1.588235294117647,0.4428322552977195,False,False
BAL,2021,2017-2025,17,8,9,0,8-9-0,7.117647058823529,6.823529411764706,0.29411764705882354,0.102803738317757,0.6470588235294118,22.764705882352942,-0.29411764705882354,-0.0034817304747111,False,False
WSH,2021,2017-2025,17,7,10,0,7-10-0,5.882352941176471,5.588235294117647,0.29411764705882354,0.09380863039399624,0.29411764705882354,19.705882352941178,-5.823529411764706,-0.7192955152771091,False,False
LAC,2000,1999-2007,15,1,14,0,1-14-0,4.4,4.133333333333334,0.26666666666666666,0.07197382769901854,1.8,17.266666666666666,-9.266666666666667,-1.4049724766735483,False,False
OAK,2010,2008-2016,16,8,8,0,8-8-0,6.625,6.375,0.25,0.103515625,0.125,25.625,2.4375,0.0669769291297223,False,False
JAX,2018,2017-2025,16,5,11,0,5-11-0,5.5625,5.3125,0.25,0.08891108891108891,0.75,15.3125,-4.4375,-0.6554807662601647,False,False
CLE,2013,2008-2016,16,4,12,0,4-12-0,5.25,5.0,0.25,0.07835820895522388,0.5,19.25,-6.125,-1.175199380618401,False,False
TB,2002,1999-2007,16,12,4,0,12-4-0,4.625,4.375,0.25,0.07247796278158668,-1.0625,21.625,9.375,2.3484405540553497,True,True
ARI,2020,2017-2025,16,8,8,0,8-8-0,7.125,6.875,0.25,0.10674157303370786,0.0,25.625,2.6875,0.4021466331420656,False,False
WSH,2006,1999-2007,16,5,11,0,5-11-0,7.125,6.875,0.25,0.11728395061728394,0.3125,19.1875,-4.3125,-0.7768484690562032,False,False
SEA,2011,2008-2016,16,7,9,0,7-9-0,5.875,5.625,0.25,0.09475806451612903,-0.5,20.0625,0.375,0.0798626225526584,False,False
CAR,2020,2017-2025,16,5,11,0,5-11-0,6.375,6.125,0.25,0.10386965376782077,-0.0625,21.875,-3.25,-0.282673568857157,False,False
GB,1999,1999-2007,16,8,8,0,8-8-0,6.1875,5.9375,0.25,0.09801980198019802,-0.25,22.3125,1.0,0.1996158804642604,False,False
HOU,2010,2008-2016,16,6,10,0,6-10-0,7.0625,6.8125,0.25,0.11122047244094488,0.0,24.375,-2.3125,-0.316310516778006,False,False
DET,2011,2008-2016,16,10,6,0,10-6-0,6.625,6.375,0.25,0.09897292250233426,-0.625,29.625,5.4375,0.6058536806067164,False,False
NE,2009,2008-2016,16,10,6,0,10-6-0,5.8125,5.5625,0.25,0.08748824082784572,-0.3125,26.6875,8.875,1.0319425780434162,False,False
DEN,1999,1999-2007,16,6,10,0,6-10-0,5.625,5.375,0.25,0.08704061895551257,0.125,19.625,-0.25,0.2993152290017925,False,False
ATL,2023,2017-2025,17,7,10,0,7-10-0,6.294117647058823,6.0588235294117645,0.23529411764705882,0.09879963065558633,0.7058823529411765,18.88235294117647,-3.0588235294117645,-0.7771473303125184,False,False
