era,n_games,ng_b_epd,ng_se_epd,ng_b_tod,ng_se_tod,ng_epd_minus_tod_gap,ng_log_loss,ng_accuracy,all_b_epd,all_se_epd,all_b_tod,all_se_tod,all_epd_minus_tod_gap,all_log_loss,all_accuracy
ALL,6949,1.1570272183066102,0.0363344857611648,-1.3584092253092057,0.03905900609749109,-0.20138200700259556,0.4651949407383253,0.7897539214275435,1.0761452948819885,0.037759224692839044,-1.634021487427674,0.04442039202082901,-0.5578761925456854,0.44401236652088294,0.7904734494171823
1999-2007,2276,1.1140865420572723,0.06342808159711828,-1.4290882624055659,0.06980476724431015,-0.31500172034829355,0.45631571659657455,0.796572934973638,1.0755292056843806,0.06760730690075313,-1.7203953174178122,0.08002153231078707,-0.6448661117334316,0.4310385427832623,0.7996485061511424
2008-2016,2298,1.2001331022414874,0.06396415890231123,-1.3265395004456406,0.06729652862203093,-0.12640639820415323,0.4646752555440687,0.783289817232376,1.0669447210307603,0.06523725016923154,-1.6284358259971063,0.07691606287005946,-0.561491104966346,0.4447823375495589,0.7780678851174935
2017-2025,2375,1.1599089817473847,0.061818610502566554,-1.3289866919828872,0.06622061613880839,-0.16907771023550255,0.4719541967872145,0.7873684210526316,1.0911967214373217,0.06387947821545886,-1.5621948378570194,0.07419659823792188,-0.4709981164196977,0.4535107691192281,0.7873684210526316
