era,metric,mean_per_game,games_per_half,observed_var,poisson_noise_var,true_var,implied_reliability,observed_split_half_r
1999-2007,explosive_diff_per_game,5.697408871321914,7.989473684210527,2.492921628229499,1.4262288347182657,1.0666927935112334,0.42788861929398503,0.3781195931202167
1999-2007,turnover_diff_per_game,1.8021519543258673,7.989473684210527,0.6896182365277995,0.4511315827693212,0.23848665375847833,0.34582416926682386,0.17780683264299954
2008-2016,explosive_diff_per_game,6.032769097222222,8.0,2.702554347826087,1.5081922743055556,1.1943620735205316,0.44193822576825026,0.37235008292136484
2008-2016,turnover_diff_per_game,1.5447048611111112,8.0,0.5869021739130434,0.3861762152777778,0.20072595863526566,0.34200922667736716,0.19961369548416652
2017-2025,explosive_diff_per_game,6.082039446076374,8.274305555555555,2.6564651541858635,1.4701026944775457,1.1863624597083178,0.4465943992673627,0.4219369281543579
2017-2025,turnover_diff_per_game,1.3000419639110365,8.274305555555555,0.47158324328946,0.31423590902759424,0.15734733426186576,0.33365760234463043,0.17633740137669493
