season,definition,n_games,epd_only_b0,epd_only_b_epd,epd_only_se_b_epd,epd_only_b_epd_raw,epd_only_se_b_epd_raw,epd_only_log_loss,epd_only_accuracy,epd_only_converged,tod_only_b0,tod_only_b_tod,tod_only_se_b_tod,tod_only_b_tod_raw,tod_only_se_b_tod_raw,tod_only_log_loss,tod_only_accuracy,tod_only_converged,both_b0,both_b_epd,both_b_tod,both_se_b_epd,both_se_b_tod,both_b_epd_raw,both_se_b_epd_raw,both_b_tod_raw,both_se_b_tod_raw,both_log_loss,both_accuracy,both_converged
1999,explosive_20_10,247,0.4215900289694464,0.664408593098977,0.14641986220750502,0.21124426216764616,0.046553214512842875,0.627797709414492,0.6518218623481782,True,0.5272200145236358,-1.4707369785783504,0.20681393913518037,-0.6615605232218348,0.0930281483206413,0.5150220828736711,0.7368421052631579,True,0.6132840020073179,0.9137976037858124,-1.6561249177836175,0.18833640208316726,0.2338454480817242,0.2905358277832217,0.05988029762198008,-0.7449509212644584,0.10518734433095536,0.45654992176331893,0.7894736842105263,True
2000,explosive_20_10,246,0.26328103088478455,0.9859110555891206,0.1692527378740796,0.2664339938122903,0.0457390985320779,0.5983565498931221,0.6788617886178862,True,0.3069318645047953,-1.5829365258567907,0.21054259384895996,-0.7150934896750812,0.09511287136368544,0.5037103791739702,0.7560975609756098,True,0.4416842998239474,1.2027257422134396,-1.7491865154148527,0.21021113120991655,0.2395097128685704,0.32502630043771863,0.05680775249912461,-0.790197123490829,0.10819880240842822,0.4141125973369205,0.8130081300813008,True
2001,explosive_20_10,248,0.2477724615148911,0.9997109572559553,0.16697323687390653,0.25883914713451583,0.04323170603767432,0.5953278980585988,0.6814516129032258,True,0.23911061150902777,-1.1212954238719954,0.17534246506028706,-0.5172694126119807,0.08088795510684743,0.5764246618792719,0.6814516129032258,True,0.31071677582196333,1.0992582134632303,-1.2003307680621487,0.1939870376627156,0.1942602298012497,0.284613323869557,0.05022595683215355,-0.553729532928581,0.08961498711568089,0.4907487785890284,0.7903225806451613,True
2002,explosive_20_10,255,0.42586377196443814,1.1709884119413514,0.18644180166509158,0.3127853232161488,0.04980088496190647,0.5701599776155413,0.6549019607843137,True,0.44689078002604765,-1.6805391057938417,0.21601020530588497,-0.7942227804098034,0.10208642290052035,0.48267428536585455,0.7764705882352941,True,0.6319510371273634,1.4955452319712665,-1.9573113709523124,0.2483977877251005,0.267097792411049,0.3994784183995253,0.06635008641201072,-0.9250253527609201,0.12623041653637498,0.3765638295517079,0.8313725490196079,True
2003,explosive_20_10,256,0.5552410380466062,1.0053384069335478,0.1672018300069874,0.26024644783444795,0.04328262208091878,0.5757382912836904,0.70703125,True,0.6822501210753279,-1.8173534978666162,0.23697178804959304,-0.8333077141307195,0.10865823255898505,0.46299680136861765,0.7890625,True,0.7527816625423779,1.2176603422683023,-1.9655998367357936,0.21891084134774094,0.2671908007763409,0.3152090644888196,0.05666825067090639,-0.901282831748915,0.12251450017459979,0.382347593702789,0.8125,True
2004,explosive_20_10,256,0.3380383746272013,1.074016948400446,0.1737835544199988,0.29910082165047935,0.04839663284064135,0.5836240268471756,0.6875,True,0.3966384897016439,-1.733145642981497,0.2306114069752819,-0.8194224433356673,0.10903190007718172,0.49142896371905964,0.73046875,True,0.4744997916133267,1.3285075356298248,-1.9294218088339716,0.22713059662561078,0.2693460346728479,0.36997339387197425,0.06325314341999964,-0.9122208160764101,0.12734543500609583,0.3976131756374696,0.81640625,True
2005,explosive_20_10,256,0.40755587219979994,0.7080303986991853,0.15158150422498173,0.1953259887619138,0.04181714124867961,0.6266613173385983,0.64453125,True,0.5520759610796893,-1.7148335562883483,0.2391437742042826,-0.8158731737218867,0.11377838351739748,0.4978270462882035,0.74609375,True,0.6507412588110135,0.8057050826053381,-1.7951597595732651,0.18699929718499453,0.25597755196799915,0.2222717304221986,0.05158792996395121,-0.8540902905766229,0.12178745684083958,0.4554419781266059,0.7890625,True
2006,explosive_20_10,256,0.14510789934011273,0.7765408307791634,0.15120951043062,0.20736587597926143,0.04037867854981843,0.629563540994057,0.640625,True,0.2265531907929941,-1.9061891143772733,0.23713084501156823,-0.8970544217567755,0.11159400263495915,0.4636430698315042,0.80078125,True,0.21526118144954576,0.8685403840749305,-1.9168660668141153,0.19308253470898673,0.24547829014974742,0.23193324861791006,0.051560365352651495,-0.9020790057931212,0.11552231830683939,0.4169479361282929,0.8125,True
2007,explosive_20_10,256,0.3806386503380413,1.0562245016305478,0.1729492510163511,0.29299779555260136,0.04797630542752674,0.5842376896628034,0.67578125,True,0.40470032697302344,-1.6710868106334824,0.22717795783888142,-0.7938321926294234,0.10791849665784237,0.4996426903032877,0.7734375,True,0.4761834225958367,0.9779785872924149,-1.620553710693018,0.19618173252915105,0.24119625379829393,0.27129229603362714,0.054421020408062154,-0.7698269756228372,0.11457774053887695,0.4388116330648377,0.82421875,True
2008,explosive_20_10,255,0.3710286504459973,1.094877456189535,0.17558364786575428,0.29704757642103935,0.04763701797204475,0.5788989974538463,0.6901960784313725,True,0.39717188695876515,-1.29948587432932,0.19106182612611775,-0.6537185561567698,0.096115443483604,0.549213849310335,0.7176470588235294,True,0.4871191176134628,1.2357578336385997,-1.3990397001247736,0.205201567959908,0.21059927332378384,0.33526936503304416,0.05567255777868165,-0.7038000418770167,0.10594393952604014,0.4514049756535683,0.7686274509803922,True
2009,explosive_20_10,256,0.3599673333223335,1.1596466196658344,0.17842469584799192,0.31021612142792615,0.04773024486448403,0.5681679347242163,0.71875,True,0.38959873441839354,-1.5068376375767205,0.20551070663152984,-0.7462566218327809,0.10177853396863047,0.5173272060611978,0.73046875,True,0.505815143186021,1.2344525042220442,-1.607989474244216,0.21137517302011705,0.2408064019116186,0.33022738259445267,0.05654480013864298,-0.796351752217937,0.11925861653898448,0.4276485856652007,0.7734375,True
