era,n,r_explosive_diff,r_explosive_diff_ci_lo,r_explosive_diff_ci_hi,r_turnover_diff,r_turnover_diff_ci_lo,r_turnover_diff_ci_hi,r2_both
1999-2007,285,0.6491852563389665,0.5764803354703574,0.7116916065332856,-0.6388312299118208,-0.7028500061518257,-0.5645470669454532,0.6258015777770533
2008-2016,288,0.599226807360893,0.5196365212616859,0.6685066062384317,-0.6838591813729807,-0.7408794549879257,-0.6170515435885103,0.6485999926128188
2017-2025,288,0.7072584873340955,0.6443512539469042,0.7606582595460432,-0.6379787865428589,-0.7018087804934633,-0.5639861338642752,0.6848927058852445
ALL,861,0.6519671309530676,0.6118046368204056,0.6887767594991189,-0.6519004161376897,-0.6887157711687824,-0.6117320326871236,0.6493947674056875
