era,n_games,epd_only_b0,epd_only_b_epd,epd_only_se_b_epd,epd_only_b_epd_raw,epd_only_se_b_epd_raw,epd_only_log_loss,epd_only_accuracy,epd_only_converged,tod_only_b0,tod_only_b_tod,tod_only_se_b_tod,tod_only_b_tod_raw,tod_only_se_b_tod_raw,tod_only_log_loss,tod_only_accuracy,tod_only_converged,both_b0,both_b_epd,both_b_tod,both_se_b_epd,both_se_b_tod,both_b_epd_raw,both_se_b_epd_raw,both_b_tod_raw,both_se_b_tod_raw,both_log_loss,both_accuracy,both_converged
1999-2007,2276,0.3498232093054459,0.9229534306591068,0.054341021330647964,0.25200770283929225,0.014837537302069563,0.6024340903046356,0.6586115992970123,True,0.41588802275812364,-1.610632062017904,0.07231106964005533,-0.7486594771426363,0.03361187751380228,0.5027043250054354,0.7548330404217927,True,0.50121893260594,1.0755292056843806,-1.7203953174178122,0.06760730690075313,0.08002153231078707,0.2936677360498362,0.01845982856907832,-0.7996800071165736,0.037195881016356215,0.4310385427832623,0.7996485061511424,True
2008-2016,2298,0.3318835735878212,0.91259553739161,0.05370774085661278,0.24779395750526526,0.014583079919024878,0.6042635878380245,0.6771105308964317,True,0.39459081755601244,-1.5091193792659616,0.06933586954297867,-0.7614552033357489,0.03498474631409871,0.5200445073176472,0.7410791993037423,True,0.4728938513967053,1.0669447210307603,-1.6284358259971063,0.06523725016923154,0.07691606287005946,0.28970386554729816,0.01771364830733122,-0.821658611001983,0.03880947862520593,0.4447823375495589,0.7780678851174935,True
2017-2025,2375,0.20694379419394845,0.9556311919839591,0.05328189417126661,0.2567467341296529,0.014315096065788648,0.6028051277381847,0.664,True,0.2432135540943565,-1.4367711577340485,0.0660015649352914,-0.809006956221054,0.037163695044058004,0.5345241866264725,0.7254736842105263,True,0.2913001402714885,1.0911967214373217,-1.5621948378570194,0.06387947821545886,0.07419659823792188,0.29316874215918187,0.017162319048707513,-0.8796296362130127,0.04177809651822684,0.4535107691192281,0.7873684210526316,True
