qb_continuity,n_team_seasons,correlation,ci_lo,ci_hi
changed_qb,315,0.1302141474636547,0.019993909728012463,0.23730731104325423
same_qb,514,0.23676747183889227,0.1534220584293857,0.31676799672492356
