season,metric,n,r,ci_lo,ci_hi
1999,explosive_rate_per_play,31,0.5824418367177256,0.28742022420001034,0.7765215001411465
1999,explosive_diff_per_game,31,0.480787016980503,0.15241215661938282,0.7135630212249937
1999,turnovers_per_game,31,0.04956512435708323,-0.31022342222510924,0.39693392854209925
1999,turnover_diff_per_game,31,0.020905372552231922,-0.33592313565540766,0.37248625867622104
1999,margin_per_game,31,0.5889865976013267,0.2965334850445466,0.7804463333567405
1999,yards_per_play,31,0.6609567061361713,0.4003891081244553,0.8226332559539423
2000,explosive_rate_per_play,31,0.5128865596615019,0.19375958737772503,0.7338580447482949
2000,explosive_diff_per_game,31,0.7305443378160973,0.5076028968011013,0.8617983341363394
2000,turnovers_per_game,31,0.34773193418524057,-0.007536840305351668,0.6250555944492789
2000,turnover_diff_per_game,31,0.32962745217338096,-0.027980835792746402,0.612435020266775
2000,margin_per_game,31,0.7027823097640614,0.46398576650022705,0.8463588024098871
2000,yards_per_play,31,0.6157799992740447,0.3344057229668306,0.7963582794060569
2001,explosive_rate_per_play,31,0.5135045516909469,0.19456690432880036,0.7342449394735465
2001,explosive_diff_per_game,31,0.5322145735828367,0.21921513454307817,0.7458908799219468
2001,turnovers_per_game,31,-0.04395360569856379,-0.39218562047414457,0.3152971173093228
2001,turnover_diff_per_game,31,0.0955704738094631,-0.26783989774274597,0.43517367516036554
2001,margin_per_game,31,0.5303665440079446,0.216762662711372,0.744746370630455
2001,yards_per_play,31,0.6077697303583098,0.322987237235805,0.791627227733043
2002,explosive_rate_per_play,32,0.18774851019989774,-0.1722201579540068,0.503481191239041
2002,explosive_diff_per_game,32,0.07504898371550053,-0.2809984713710425,0.4129367588799023
2002,turnovers_per_game,32,0.39996187249254556,0.05957672876315183,0.6570243991439699
2002,turnover_diff_per_game,32,0.4617685767098739,0.1347756281383064,0.6980632513711584
2002,margin_per_game,32,0.447977850792814,0.11766381247815616,0.6890389870465227
2002,yards_per_play,32,0.5028667835321338,0.18695468456468892,0.7245188292812825
2003,explosive_rate_per_play,32,0.17737995655776337,-0.18260859650915556,0.49543087258914803
2003,explosive_diff_per_game,32,0.4062685374660534,0.06707690974305555,0.6612829268850472
2003,turnovers_per_game,32,0.2223461791029346,-0.13696694388279645,0.5299525211511046
2003,turnover_diff_per_game,32,0.0812373450760753,-0.2752537298226146,0.4180881438723211
2003,margin_per_game,32,0.5106593107970812,0.19705342716727875,0.7294624149550265
2003,yards_per_play,32,0.5083856318307548,0.19409995583986944,0.7280223489709884
2004,explosive_rate_per_play,32,0.4544298114653128,0.12564519366428764,0.6932702953695714
2004,explosive_diff_per_game,32,0.26751867101839366,-0.08952652564774635,0.563635510321648
2004,turnovers_per_game,32,0.5014516874439688,0.1851279234061748,0.7236186378231747
2004,turnover_diff_per_game,32,0.20931734760342235,-0.15035034814034817,0.5200537893300209
2004,margin_per_game,32,0.4888892034423425,0.1690061752830723,0.7155939315545706
2004,yards_per_play,32,0.7297602731657686,0.5111299728641928,0.8596939386475921
2005,explosive_rate_per_play,32,0.5161413237091161,0.20419795568697263,0.7329265659071217
2005,explosive_diff_per_game,32,0.5346692987326945,0.22859334925982033,0.7445520013442027
2005,turnovers_per_game,32,0.29647401434171256,-0.05824081562618905,0.5847203537655083
2005,turnover_diff_per_game,32,0.1918677423146841,-0.16807068156764435,0.5066642883000598
2005,margin_per_game,32,0.5359253402653529,0.2302611835092703,0.7453355277208898
2005,yards_per_play,32,0.5459988176991178,0.24370251543870697,0.7515985700822211
2006,explosive_rate_per_play,32,0.3797300692390106,0.03577275476894094,0.6432513895351534
2006,explosive_diff_per_game,32,0.11397982227209709,-0.24442874252604954,0.4449881492194673
2006,turnovers_per_game,32,0.4895816376614094,0.1698903581904517,0.7160378108300578
2006,turnover_diff_per_game,32,0.22665571882437235,-0.13251106196260184,0.5332083742388393
2006,margin_per_game,32,0.5583654262698383,0.26036397189687055,0.75923697650634
2006,yards_per_play,32,0.42312886523805177,0.08731801143493073,0.6725875914627671
2007,explosive_rate_per_play,32,0.30938052140391936,-0.04406740126345822,0.5939948485968123
2007,explosive_diff_per_game,32,0.39354588986204203,0.05198577593186821,0.6526751550576041
2007,turnovers_per_game,32,0.23643408112412834,-0.12234652006168953,0.5405623911844505
