game_id,season,week,game_type,team,opponent,points_for,points_against,is_home,plays,pass_plays,rush_plays,dropbacks,sacks_taken,negative_plays,yards,epa_total,explosive_20_10,explosive_25_15,explosive_20_20,explosive_epa2,explosive_20_10_ng,explosive_25_15_ng,explosive_20_20_ng,explosive_epa2_ng,turnovers,turnovers_ng,turnovers_scrimmage,turnovers_scrimmage_ng,def_plays_made,drives,drive_plays_total,drive_seconds_total,franchise,opp_franchise,margin,win,explosive_20_10_diff,explosive_25_15_diff,explosive_20_20_diff,explosive_epa2_diff,explosive_20_10_ng_diff,explosive_25_15_ng_diff,explosive_20_20_ng_diff,explosive_epa2_ng_diff,turnovers_diff,turnovers_ng_diff,turnovers_scrimmage_diff,turnovers_scrimmage_ng_diff,yards_diff
1999_01_MIN_ATL,1999,1,REG,MIN,ATL,17,14,False,63,32,31,32,0,6,295.0,-0.6343928648943278,4,2,3,3,4,2,3,3,0.0,0.0,0.0,0.0,7,10,68.0,1942.0,MIN,ATL,3,1.0,-4,-1,-4,0,-4,-1,-4,0,-3.0,-3.0,-2.0,-2.0,-64.0
1999_01_NE_NYJ,1999,1,REG,NYJ,NE,28,30,True,66,42,24,43,4,6,363.0,-3.103095286380034,7,7,4,7,7,7,4,7,4.0,4.0,4.0,4.0,7,14,68.0,2026.0,NYJ,NE,-2,0.0,2,3,-1,2,2,3,-1,2,2.0,2.0,2.0,2.0,-34.0
1999_01_NE_NYJ,1999,1,REG,NE,NYJ,30,28,False,58,32,26,32,2,7,397.0,1.4748971160567939,5,4,5,5,5,4,5,5,2.0,2.0,2.0,2.0,8,13,65.0,1772.0,NE,NYJ,2,1.0,-2,-3,1,-2,-2,-3,1,-2,-2.0,-2.0,-2.0,-2.0,34.0
1999_01_NYG_TB,1999,1,REG,TB,NYG,13,17,True,71,44,27,45,2,9,254.0,-32.9834222474765,5,4,2,1,5,4,2,1,5.0,5.0,5.0,5.0,8,16,73.0,1979.0,TB,NYG,-4,0.0,5,4,2,1,5,4,2,1,5.0,5.0,5.0,5.0,145.0
1999_01_NYG_TB,1999,1,REG,NYG,TB,17,13,False,47,26,21,27,2,6,109.0,-19.428414383539852,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,13,17,62.0,1942.0,NYG,TB,4,1.0,-5,-4,-2,-1,-5,-4,-2,-1,-5.0,-5.0,-5.0,-5.0,-145.0
1999_01_OAK_GB,1999,1,REG,GB,LV,28,24,True,66,47,19,47,3,5,404.0,5.181880799820647,5,2,3,4,5,2,3,4,4.0,4.0,4.0,4.0,6,12,70.0,1781.0,GB,OAK,4,1.0,-1,-2,-2,-1,-1,-2,-2,-1,3.0,3.0,3.0,3.0,41.0
1999_01_OAK_GB,1999,1,REG,LV,GB,24,28,False,67,35,32,35,4,4,363.0,7.65437531324225,6,4,5,5,6,4,5,5,1.0,1.0,1.0,1.0,9,13,70.0,1819.0,OAK,GB,-4,0.0,1,2,2,1,1,2,2,1,-3.0,-3.0,-3.0,-3.0,-41.0
1999_01_PIT_CLE,1999,1,REG,CLE,PIT,0,43,True,27,19,8,19,3,5,41.0,-23.738340738520492,0,0,0,0,0,0,0,0,4.0,1.0,3.0,1.0,4,11,28.0,731.0,CLE,PIT,-43,0.0,-7,0,-2,-6,-4,0,0,-2,4.0,1.0,3.0,1.0,-384.0
1999_01_PIT_CLE,1999,1,REG,PIT,CLE,43,0,False,84,32,52,32,1,3,425.0,29.08419105624459,7,0,2,6,4,0,0,2,0.0,0.0,0.0,0.0,6,11,93.0,2869.0,PIT,CLE,43,1.0,7,0,2,6,4,0,0,2,-4.0,-1.0,-3.0,-1.0,384.0
1999_01_SF_JAX,1999,1,REG,JAX,SF,41,3,True,66,33,33,33,2,10,348.0,-0.7849195613478992,7,4,3,2,4,3,2,2,0.0,0.0,0.0,0.0,11,16,83.0,2422.0,JAX,SF,38,1.0,2,2,0,0,1,1,0,1,-5.0,-3.0,-4.0,-2.0,145.0
1999_01_SF_JAX,1999,1,REG,SF,JAX,3,41,False,58,38,20,38,4,7,203.0,-34.82204689095748,5,2,3,2,3,2,2,1,5.0,3.0,4.0,2.0,7,15,60.0,1498.0,SF,JAX,-38,0.0,-2,-2,0,0,-1,-1,0,-1,5.0,3.0,4.0,2.0,-145.0
1999_02_ARI_MIA,1999,2,REG,MIA,ARI,19,16,True,65,35,30,35,0,4,306.0,-16.289433776067135,4,3,3,3,4,3,3,3,4.0,4.0,3.0,3.0,12,15,71.0,1912.0,MIA,ARI,3,1.0,-1,1,0,0,-1,1,0,0,0.0,0.0,-1.0,-1.0,121.0
1999_02_ARI_MIA,1999,2,REG,ARI,MIA,16,19,False,57,30,27,30,2,8,185.0,-24.387831363978606,5,2,3,3,5,2,3,3,4.0,4.0,4.0,4.0,6,15,65.0,1797.0,ARI,MIA,-3,0.0,1,-1,0,0,1,-1,0,0,0.0,0.0,1.0,1.0,-121.0
1999_02_ATL_DAL,1999,2,REG,DAL,ATL,24,7,True,60,23,37,23,2,8,224.0,-11.065995576281056,4,2,2,2,3,2,2,1,2.0,1.0,2.0,1.0,8,13,68.0,2014.0,DAL,ATL,17,1.0,-1,-1,-2,-2,1,1,1,0,-2.0,-1.0,-2.0,-1.0,-100.0
