era,n_games,points_per_explosive,points_per_explosive_se,points_per_turnover,points_per_turnover_se,exchange_ratio_turnover_to_explosive,exchange_ratio_se,r2_epd_only,r2_tod_only,r2_both,points_per_explosive_alone,points_per_explosive_alone_se,points_per_turnover_alone,points_per_turnover_alone_se
1999-2007,2277,1.633562833142338,0.05708931803658157,-3.6936025303781754,0.09723170131393415,-2.261071600945477,0.10577337980914732,0.2442429396118564,0.37117439336115354,0.5376476812125706,1.9566011524302718,0.07215919869950614,-4.108027377799121,0.11210338702424574
2008-2016,2304,1.6757051636438705,0.05842972213278581,-4.176474836212407,0.10856707789235097,-2.4923685424054782,0.11458165053111147,0.23038193499569215,0.36419655973572185,0.5316180222173995,1.9509067170669816,0.07431855555304738,-4.557687461585741,0.1255120428238543
2017-2025,2383,1.7783991567225215,0.0543998446830757,-4.101531278571249,0.11394447944599377,-2.3063052313464403,0.10134395564625925,0.2793914554416932,0.32389104667099544,0.5334094412777899,2.035819459637866,0.0670043050683155,-4.5912168083245195,0.13594303953770437
