era,drives,drives_with_def_play,total_points,total_plays,p_at_least_one_def_play_per_drive,points_per_drive,plays_per_drive
1999-2007,52817,24237,87450.5,283227,0.45888634341215895,1.6557263759774314,5.362421190147112
2008-2016,52182,23388,95808.54999999999,289871,0.4482005289180177,1.8360459545437122,5.554999808363037
2017-2025,50663,22969,103524.7,296903,0.4533683358664114,2.0433985354203266,5.860351735980894
