era,std_gen_per_game,mean_gen_per_game,std_allowed_per_game,mean_allowed_per_game,n_team_seasons,cv_gen,cv_allowed
1999-2007,0.9743385039656233,5.69766081871345,0.8918318137621268,5.696374269005848,285,0.17100675785499497,0.15656130929012368
2008-2016,0.9673305033802632,6.032769097222222,0.9358786056120673,6.032769097222222,288,0.16034601818685035,0.1551325088909819
2017-2025,0.9875554156902449,6.085490706699346,0.88221152601009,6.085465175653595,288,0.1622803259896647,0.1449702694117115
