team,season,allowed_per_game,explosives_allowed,games
DEN,2025,4.117647058823529,70,17
SF,2022,4.176470588235294,71,17
SEA,2025,4.235294117647059,72,17
LA,2020,4.4375,71,16
CHI,2019,4.6875,75,16
NE,2023,4.705882352941177,80,17
PHI,2024,4.705882352941177,80,17
JAX,2025,4.705882352941177,80,17
GB,2025,4.764705882352941,81,17
BUF,2021,4.823529411764706,82,17
