team,season,games,explosives_generated,explosives_allowed,gen_per_game,allowed_per_game
DAL,2019,16,128,101,8.0,6.3125
DEN,2019,16,87,90,5.4375,5.625
DET,2019,16,99,110,6.1875,6.875
GB,2019,16,98,100,6.125,6.25
HOU,2019,16,105,108,6.5625,6.75
IND,2019,16,91,91,5.6875,5.6875
JAX,2019,16,100,120,6.25,7.5
KC,2019,16,92,102,5.75,6.375
LA,2019,16,113,89,7.0625,5.5625
LAC,2019,16,95,80,5.9375,5.0
LV,2019,16,94,116,5.875,7.25
MIA,2019,16,77,119,4.8125,7.4375
MIN,2019,16,109,84,6.8125,5.25
NE,2019,16,106,78,6.625,4.875
NO,2019,16,99,92,6.1875,5.75
NYG,2019,16,101,122,6.3125,7.625
NYJ,2019,16,70,90,4.375,5.625
PHI,2019,16,100,90,6.25,5.625
PIT,2019,16,73,83,4.5625,5.1875
SEA,2019,16,117,108,7.3125,6.75
SF,2019,16,126,81,7.875,5.0625
TB,2019,16,114,88,7.125,5.5
TEN,2019,16,121,96,7.5625,6.0
WAS,2019,16,80,115,5.0,7.1875
ARI,2020,16,114,110,7.125,6.875
ATL,2020,16,93,116,5.8125,7.25
BAL,2020,16,118,88,7.375,5.5
BUF,2020,16,119,101,7.4375,6.3125
CAR,2020,16,102,98,6.375,6.125
CHI,2020,16,82,112,5.125,7.0
CIN,2020,16,72,130,4.5,8.125
CLE,2020,16,119,92,7.4375,5.75
DAL,2020,16,96,118,6.0,7.375
DEN,2020,16,100,117,6.25,7.3125
DET,2020,16,94,121,5.875,7.5625
GB,2020,16,106,82,6.625,5.125
HOU,2020,16,108,124,6.75,7.75
IND,2020,16,120,87,7.5,5.4375
JAX,2020,16,93,120,5.8125,7.5
KC,2020,16,126,92,7.875,5.75
LA,2020,16,105,71,6.5625,4.4375
LAC,2020,16,95,99,5.9375,6.1875
LV,2020,16,114,108,7.125,6.75
MIA,2020,16,82,114,5.125,7.125
MIN,2020,16,129,109,8.0625,6.8125
NE,2020,16,100,98,6.25,6.125
NO,2020,16,104,84,6.5,5.25
NYG,2020,16,82,94,5.125,5.875
NYJ,2020,16,76,100,4.75,6.25
PHI,2020,16,94,102,5.875,6.375
PIT,2020,16,80,94,5.0,5.875
SEA,2020,16,105,95,6.5625,5.9375
SF,2020,16,102,88,6.375,5.5
TB,2020,16,101,79,6.3125,4.9375
TEN,2020,16,114,109,7.125,6.8125
WAS,2020,16,86,79,5.375,4.9375
ARI,2021,17,116,106,6.823529411764706,6.235294117647059
ATL,2021,17,86,107,5.0588235294117645,6.294117647058823
BAL,2021,17,121,116,7.117647058823529,6.823529411764706
BUF,2021,17,111,82,6.529411764705882,4.823529411764706
CAR,2021,17,90,105,5.294117647058823,6.176470588235294
CHI,2021,17,94,107,5.529411764705882,6.294117647058823
CIN,2021,17,103,112,6.0588235294117645,6.588235294117647
CLE,2021,17,128,90,7.529411764705882,5.294117647058823
DAL,2021,17,117,114,6.882352941176471,6.705882352941177
DEN,2021,17,101,94,5.9411764705882355,5.529411764705882
DET,2021,17,102,115,6.0,6.764705882352941
GB,2021,17,97,98,5.705882352941177,5.764705882352941
HOU,2021,17,67,129,3.9411764705882355,7.588235294117647
IND,2021,17,114,90,6.705882352941177,5.294117647058823
JAX,2021,17,86,102,5.0588235294117645,6.0
KC,2021,17,111,97,6.529411764705882,5.705882352941177
LA,2021,17,111,98,6.529411764705882,5.764705882352941
LAC,2021,17,98,112,5.764705882352941,6.588235294117647
LV,2021,17,104,93,6.117647058823529,5.470588235294118
MIA,2021,17,79,113,4.647058823529412,6.647058823529412
MIN,2021,17,119,107,7.0,6.294117647058823
NE,2021,17,125,88,7.352941176470588,5.176470588235294
NO,2021,17,86,93,5.0588235294117645,5.470588235294118
NYG,2021,17,68,101,4.0,5.9411764705882355
NYJ,2021,17,98,137,5.764705882352941,8.058823529411764
PHI,2021,17,128,83,7.529411764705882,4.882352941176471
PIT,2021,17,84,116,4.9411764705882355,6.823529411764706
SEA,2021,17,109,89,6.411764705882353,5.235294117647059
SF,2021,17,121,98,7.117647058823529,5.764705882352941
TB,2021,17,115,107,6.764705882352941,6.294117647058823
TEN,2021,17,96,91,5.647058823529412,5.352941176470588
WAS,2021,17,100,95,5.882352941176471,5.588235294117647
ARI,2022,17,82,103,4.823529411764706,6.0588235294117645
ATL,2022,17,107,105,6.294117647058823,6.176470588235294
BAL,2022,17,121,85,7.117647058823529,5.0
BUF,2022,16,113,102,7.0625,6.375
CAR,2022,17,99,108,5.823529411764706,6.352941176470588
CHI,2022,17,119,123,7.0,7.235294117647059
CIN,2022,16,86,95,5.375,5.9375
CLE,2022,17,121,116,7.117647058823529,6.823529411764706
DAL,2022,17,112,110,6.588235294117647,6.470588235294118
DEN,2022,17,107,93,6.294117647058823,5.470588235294118
DET,2022,17,110,122,6.470588235294118,7.176470588235294
GB,2022,17,108,110,6.352941176470588,6.470588235294118
HOU,2022,17,84,141,4.9411764705882355,8.294117647058824
IND,2022,17,87,99,5.117647058823529,5.823529411764706
JAX,2022,17,110,108,6.470588235294118,6.352941176470588
KC,2022,17,120,91,7.0588235294117645,5.352941176470588
LA,2022,17,78,83,4.588235294117647,4.882352941176471
LAC,2022,17,86,111,5.0588235294117645,6.529411764705882
LV,2022,17,112,110,6.588235294117647,6.470588235294118
MIA,2022,17,109,97,6.411764705882353,5.705882352941177
MIN,2022,17,98,113,5.764705882352941,6.647058823529412
NE,2022,17,108,91,6.352941176470588,5.352941176470588
NO,2022,17,91,87,5.352941176470588,5.117647058823529
NYG,2022,17,102,127,6.0,7.470588235294118
NYJ,2022,17,94,95,5.529411764705882,5.588235294117647
PHI,2022,17,137,96,8.058823529411764,5.647058823529412
PIT,2022,17,97,100,5.705882352941177,5.882352941176471
SEA,2022,17,108,115,6.352941176470588,6.764705882352941
SF,2022,17,117,71,6.882352941176471,4.176470588235294
TB,2022,17,77,100,4.529411764705882,5.882352941176471
TEN,2022,17,95,99,5.588235294117647,5.823529411764706
WAS,2022,17,97,86,5.705882352941177,5.0588235294117645
ARI,2023,17,109,119,6.411764705882353,7.0
ATL,2023,17,107,103,6.294117647058823,6.0588235294117645
BAL,2023,17,122,98,7.176470588235294,5.764705882352941
BUF,2023,17,109,99,6.411764705882353,5.823529411764706
CAR,2023,17,79,96,4.647058823529412,5.647058823529412
CHI,2023,17,122,93,7.176470588235294,5.470588235294118
CIN,2023,17,89,123,5.235294117647059,7.235294117647059
CLE,2023,17,107,93,6.294117647058823,5.470588235294118
DAL,2023,17,110,95,6.470588235294118,5.588235294117647
DEN,2023,17,98,112,5.764705882352941,6.588235294117647
DET,2023,17,130,105,7.647058823529412,6.176470588235294
GB,2023,17,102,113,6.0,6.647058823529412
HOU,2023,17,117,106,6.882352941176471,6.235294117647059
IND,2023,17,99,108,5.823529411764706,6.352941176470588
JAX,2023,17,92,96,5.411764705882353,5.647058823529412
KC,2023,17,98,82,5.764705882352941,4.823529411764706
LA,2023,17,107,102,6.294117647058823,6.0
LAC,2023,17,88,106,5.176470588235294,6.235294117647059
LV,2023,17,60,97,3.5294117647058822,5.705882352941177
MIA,2023,17,124,89,7.294117647058823,5.235294117647059
MIN,2023,17,112,88,6.588235294117647,5.176470588235294
NE,2023,17,62,80,3.6470588235294117,4.705882352941177
NO,2023,17,94,109,5.529411764705882,6.411764705882353
NYG,2023,17,93,112,5.470588235294118,6.588235294117647
NYJ,2023,17,75,96,4.411764705882353,5.647058823529412
PHI,2023,17,104,107,6.117647058823529,6.294117647058823
PIT,2023,17,96,108,5.647058823529412,6.352941176470588
SEA,2023,17,104,117,6.117647058823529,6.882352941176471
SF,2023,17,149,84,8.764705882352942,4.9411764705882355
TB,2023,17,96,103,5.647058823529412,6.0588235294117645
TEN,2023,17,98,95,5.764705882352941,5.588235294117647
WAS,2023,17,96,114,5.647058823529412,6.705882352941177
ARI,2024,17,116,106,6.823529411764706,6.235294117647059
ATL,2024,17,110,101,6.470588235294118,5.9411764705882355
BAL,2024,17,144,83,8.470588235294118,4.882352941176471
BUF,2024,17,112,105,6.588235294117647,6.176470588235294
CAR,2024,17,83,134,4.882352941176471,7.882352941176471
CHI,2024,17,82,121,4.823529411764706,7.117647058823529
CIN,2024,17,89,102,5.235294117647059,6.0
CLE,2024,17,73,126,4.294117647058823,7.411764705882353
DAL,2024,17,89,110,5.235294117647059,6.470588235294118
DEN,2024,17,106,89,6.235294117647059,5.235294117647059
DET,2024,17,130,108,7.647058823529412,6.352941176470588
GB,2024,17,129,94,7.588235294117647,5.529411764705882
HOU,2024,17,96,105,5.647058823529412,6.176470588235294
IND,2024,17,115,115,6.764705882352941,6.764705882352941
JAX,2024,17,103,135,6.0588235294117645,7.9411764705882355
KC,2024,17,75,94,4.411764705882353,5.529411764705882
LA,2024,17,88,106,5.176470588235294,6.235294117647059
LAC,2024,17,100,103,5.882352941176471,6.0588235294117645
LV,2024,17,84,98,4.9411764705882355,5.764705882352941
MIA,2024,17,88,91,5.176470588235294,5.352941176470588
MIN,2024,17,113,90,6.647058823529412,5.294117647058823
NE,2024,17,92,95,5.411764705882353,5.588235294117647
NO,2024,17,95,116,5.588235294117647,6.823529411764706
NYG,2024,17,80,115,4.705882352941177,6.764705882352941
NYJ,2024,17,97,104,5.705882352941177,6.117647058823529
PHI,2024,17,125,80,7.352941176470588,4.705882352941177
PIT,2024,17,119,90,7.0,5.294117647058823
SEA,2024,17,98,96,5.764705882352941,5.647058823529412
SF,2024,17,123,84,7.235294117647059,4.9411764705882355
TB,2024,17,132,91,7.764705882352941,5.352941176470588
TEN,2024,17,96,96,5.647058823529412,5.647058823529412
WAS,2024,17,112,111,6.588235294117647,6.529411764705882
ARI,2025,17,84,114,4.9411764705882355,6.705882352941177
ATL,2025,17,101,100,5.9411764705882355,5.882352941176471
BAL,2025,17,114,111,6.705882352941177,6.529411764705882
BUF,2025,17,129,103,7.588235294117647,6.0588235294117645
CAR,2025,17,88,89,5.176470588235294,5.235294117647059
CHI,2025,17,127,120,7.470588235294118,7.0588235294117645
CIN,2025,17,84,122,4.9411764705882355,7.176470588235294
CLE,2025,17,76,89,4.470588235294118,5.235294117647059
DAL,2025,17,102,122,6.0,7.176470588235294
DEN,2025,17,98,70,5.764705882352941,4.117647058823529
DET,2025,17,110,112,6.470588235294118,6.588235294117647
GB,2025,17,115,81,6.764705882352941,4.764705882352941
HOU,2025,17,91,82,5.352941176470588,4.823529411764706
IND,2025,17,92,100,5.411764705882353,5.882352941176471
JAX,2025,17,105,80,6.176470588235294,4.705882352941177
KC,2025,17,96,86,5.647058823529412,5.0588235294117645
LA,2025,17,125,92,7.352941176470588,5.411764705882353
LAC,2025,17,96,89,5.647058823529412,5.235294117647059
LV,2025,17,68,87,4.0,5.117647058823529
MIA,2025,17,98,110,5.764705882352941,6.470588235294118
MIN,2025,17,92,87,5.411764705882353,5.117647058823529
NE,2025,17,123,84,7.235294117647059,4.9411764705882355
NO,2025,17,67,96,3.9411764705882355,5.647058823529412
NYG,2025,17,111,124,6.529411764705882,7.294117647058823
NYJ,2025,17,79,122,4.647058823529412,7.176470588235294
PHI,2025,17,97,101,5.705882352941177,5.9411764705882355
PIT,2025,17,85,100,5.0,5.882352941176471
SEA,2025,17,112,72,6.588235294117647,4.235294117647059
SF,2025,17,97,82,5.705882352941177,4.823529411764706
TB,2025,17,103,94,6.0588235294117645,5.529411764705882
TEN,2025,17,81,107,4.764705882352941,6.294117647058823
WAS,2025,17,100,118,5.882352941176471,6.9411764705882355
