era,n_games,both_b0,both_b_epd_ng,both_se_epd_ng,both_b_tod_ng,both_se_tod_ng,epd_minus_tod_gap,log_loss,accuracy
1999-2007,2276,0.4582604667558818,1.1140865420572723,0.06342808159711828,-1.4290882624055659,0.06980476724431015,-0.31500172034829355,0.45631571659657455,0.796572934973638
2008-2016,2298,0.4229149205390523,1.2001331022414874,0.06396415890231123,-1.3265395004456406,0.06729652862203093,-0.12640639820415323,0.4646752555440687,0.783289817232376
2017-2025,2375,0.2612317305472084,1.1599089817473847,0.061818610502566554,-1.3289866919828872,0.06622061613880839,-0.16907771023550255,0.4719541967872145,0.7873684210526316
