team,season,gen_per_game,explosives_generated,games
BAL,2019,8.875,142,16
SF,2023,8.764705882352942,149,17
BAL,2024,8.470588235294118,144,17
MIN,2020,8.0625,129,16
PHI,2022,8.058823529411764,137,17
DAL,2019,8.0,128,16
SF,2019,7.875,126,16
KC,2020,7.875,126,16
TB,2024,7.764705882352941,132,17
DET,2023,7.647058823529412,130,17
