era,n_games,b0,b_epd,se_epd,b_tod,se_tod,r2
ALL,309,4.702265372168285,2.074653935785066,0.7815740470397937,-1.709031036412146,0.7815740470397935,0.037300258664007435
1999-2007,99,5.549140516825724,3.27381891974508,1.7292979704365197,-1.7318692112331313,1.2799527841265148,0.051531637861344515
2008-2016,99,3.657540881009893,1.4226131791520336,1.2547624390859293,-2.4648094236757387,1.4418220835723135,0.04329714109395977
2017-2025,111,4.890534187797576,2.002160228808861,1.1991927781171463,-0.6528132848427537,1.4327174120270607,0.02717183704370374
