qb_id,old_team,season_s,season_s1,team_explosive_rate_s_old_qb,team_explosive_rate_s1_new_qb,team_explosive_diff_s_old_qb,team_explosive_diff_s1_new_qb,new_starter_qb_id,new_starter_games
00-0000722,BAL,2000,2001,0.13924050632911392,0.16420664206642066,1.625,1.7142857142857142,00-0006300,14
00-0001335,CIN,1999,2000,0.1740139211136891,0.18873239436619718,0.4166666666666667,0.18181818181818182,00-0015082,11
00-0001335,BAL,2002,2003,0.15542521994134897,0.21235521235521235,0.8,1.7777777777777777,00-0022164,9
00-0001361,BUF,2004,2005,0.17142857142857143,0.1422924901185771,0.3125,-2.125,00-0007576,8
00-0004293,TB,1999,2000,0.1958762886597938,0.17718940936863545,1.9,0.875,00-0009266,16
00-0005106,GB,2007,2008,0.1454849498327759,0.14983164983164984,0.5,0.125,00-0023459,16
00-0005106,NYJ,2008,2009,0.16049382716049382,0.2422062350119904,1.0625,1.6666666666666667,00-0026898,15
00-0005755,SF,2003,2004,0.203579418344519,0.09162303664921466,1.0769230769230769,-3.888888888888889,00-0019623,9
00-0006300,KC,2000,2001,0.15970961887477314,0.20103092783505155,-0.35714285714285715,0.5,00-0006355,16
00-0007091,SEA,2010,2011,0.1318267419962335,0.17479674796747968,-1.7857142857142858,0.21428571428571427,00-0024279,14
00-0008442,WSH,2000,2001,0.14430379746835442,0.205607476635514,0.09090909090909091,0.7857142857142857,00-0000722,14
00-0009311,SEA,2000,2001,0.14463840399002495,0.15144230769230768,-1.5,-0.8333333333333334,00-0007091,12
00-0011022,PHI,2009,2010,0.1833976833976834,0.21888412017167383,1.0714285714285714,2.727272727272727,00-0020245,11
00-0011024,TEN,2005,2006,0.1224105461393597,0.21608040201005024,-1.2857142857142858,0.0,00-0024218,13
00-0012726,PHI,1999,2000,0.11447811447811448,0.13901345291479822,-1.6666666666666667,0.0625,00-0011022,16
00-0013042,ARI,2002,2003,0.13539967373572595,0.1422319474835886,-1.1875,-1.2307692307692308,00-0001335,13
00-0017200,NYG,2004,2005,0.15822784810126583,0.17717206132879046,-0.1111111111111111,0.1875,00-0022803,16
00-0019559,NYJ,2007,2008,0.12779552715654952,0.16049382716049382,-0.6666666666666666,1.0625,00-0005106,16
00-0019596,NE,2019,2020,0.16232771822358347,0.2052401746724891,1.75,0.2,00-0027939,15
00-0021141,DET,2005,2006,0.10512820512820513,0.125,-2.909090909090909,-0.25,00-0009311,16
00-0021206,TB,2014,2015,0.1308641975308642,0.17922948073701842,-1.0909090909090908,1.125,00-0031503,16
