season,winner,loser,winner_score,loser_score,winner_z,loser_z,z_gap,upset
1979,PIT,LAR,31,19,2.390437801859866,0.2195082142073101,2.170929587652556,False
1994,SF,LAC,49,26,2.7356914589197974,0.7227025923896249,2.0129888665301725,False
1996,GB,NE,35,21,2.8887823993153763,1.0993567376025113,1.789425661712865,False
2007,NYG,NE,17,14,0.735494570464491,2.511519083784333,-1.7760245133198422,True
1985,CHI,NE,46,10,2.7890764295234343,1.1247148827318283,1.664361546791606,False
1991,WSH,BUF,37,24,2.4295411034490737,0.8725841906646381,1.5569569127844356,False
1999,LAR,TEN,23,16,2.316797663834999,0.7864472100601296,1.5303504537748696,False
2001,NE,LAR,20,17,1.0613605369811792,2.51352590312949,-1.4521653661483107,True
1992,DAL,BUF,52,17,2.214859994825992,0.8727278990775852,1.3421320957484069,False
1989,SF,DEN,55,10,2.57152387710604,1.255172630079196,1.3163512470268437,False
1986,NYG,DEN,39,20,1.976515030673232,0.7322132482528451,1.2443017824203868,False
2000,BAL,NYG,34,7,1.890862564037057,0.6819694133114872,1.20889315072557,False
2008,PIT,ARI,27,23,1.5781047302028666,0.3732369784603971,1.2048677517424695,False
1993,DAL,BUF,30,13,2.125667839402503,0.9912837988964812,1.134384040506022,False
2025,SEA,NE,29,13,2.2970438088936502,1.1781663610515876,1.1188774478420627,False
