franchise,seasons,home_games,home_adj_margin,road_games,road_adj_margin,swing,swing_se,swing_vs_league,z
IND,29,223,1.6968067623704994,221,-1.6882449828665747,3.385051745237074,1.0838453448500605,-2.3643403216884082,-2.1814369853805036
SF,29,222,1.7839476644794563,222,-1.7839476644794539,3.56789532895891,1.1467733556840063,-2.1814967379665724,-1.9022910910459663
CLE,26,198,1.921078872042264,198,-1.9210788720422567,3.8421577440845205,1.1925231360874766,-1.9072343228409618,-1.5993268936469993
BAL,4,32,2.0412385224707226,32,-2.041238522470697,4.082477044941419,2.717059696252426,-1.666915021984063,-0.6134995945371381
NO,29,222,2.143751084922183,222,-2.1437510849221733,4.287502169844356,1.0897934058491971,-1.461889897081126,-1.34143764243277
PHI,29,223,2.172525915704208,221,-2.168269286909188,4.340795202613396,1.032183981865925,-1.408596864312086,-1.364676151790016
NYJ,29,221,2.2409348815471066,223,-2.257874455237913,4.498809336785019,1.2084675234166622,-1.2505827301404633,-1.0348500939476886
OAK,29,222,2.30535676856971,222,-2.305356768569715,4.610713537139425,1.125025682703229,-1.1386785297860573,-1.012135587029465
MIN,29,223,2.3787457835033043,221,-2.376355397855792,4.755101181359096,1.1313275386201675,-0.9942908855663859,-0.8788709296152027
NYG,29,222,2.380921483744604,222,-2.380921483744605,4.761842967489209,1.0208779660595169,-0.987549099436273,-0.9673527417269179
LAR,29,222,2.4542905592917394,222,-2.4542905592917412,4.908581118583481,1.1568519770759647,-0.8408109483420017,-0.7268094492669824
TB,23,179,2.547084549629162,181,-2.548143100434954,5.095227650064116,1.235398414605808,-0.6541644168613665,-0.5295169632139264
ATL,29,221,2.5667569374333787,223,-2.567439685954642,5.1341966233880205,1.156618783729273,-0.6151954435374618,-0.5318912784330668
CHI,29,222,2.74839779942095,222,-2.7483977994209434,5.496795598841894,1.169335826970391,-0.2525964680835884,-0.21601704339978664
ARI,29,222,2.8618056266721243,222,-2.8618056266721235,5.723611253344248,1.132725011123491,-0.02578081358123452,-0.02275999322700915
WSH,29,222,2.8730387150621555,222,-2.8730387150621643,5.74607743012432,1.1059590491114004,-0.003314636801162507,-0.002997070102935278
LAC,29,223,2.910600738783443,221,-2.9130235201520427,5.823624258935485,1.177247954472219,0.07423219201000286,0.06305569844313934
DAL,29,221,2.9312532976700867,223,-2.928667020538994,5.859920318209081,1.1486879240704755,0.11052825128359878,0.09622130516697025
SEA,23,180,2.9398259823706376,180,-2.939825982370637,5.879651964741274,1.3503910729239637,0.13025989781579206,0.09646087006021446
MIA,29,222,3.0101937262256473,222,-3.010193726225657,6.020387452451304,1.1180309297745934,0.27099538552582203,0.24238630462616764
CAR,5,40,3.1631398596803892,40,-3.1631398596803835,6.326279719360773,2.4890900565905505,0.5768876524352908,0.23176648466688543
BUF,29,222,3.311485890933374,222,-3.311485890933373,6.622971781866747,1.1409924678962144,0.8735797149412647,0.7656314476396054
GB,29,222,3.345774587679353,222,-3.345774587679355,6.691549175358708,1.137992647742695,0.9421571084332259,0.8279114195527313
PIT,29,223,3.503786556385453,221,-3.498122205329461,7.001908761714914,1.1897505394548764,1.2525166947894313,1.0527557275690023
KC,29,222,3.678124701479761,222,-3.67812470147976,7.356249402959521,1.134090875962623,1.6068573360340386,1.4168682334827258
NE,29,222,3.6870415897684916,222,-3.6870415897684885,7.37408317953698,1.1788218012004288,1.6246911126114973,1.3782330043073743
DEN,29,222,3.7435261767807995,222,-3.7435261767807946,7.4870523535615945,1.0633311129831011,1.7376602866361122,1.6341666912775905
TEN,29,222,3.853403784823235,222,-3.853403784823239,7.7068075696464735,1.1486299479112607,1.9574155027209912,1.704130652592226
CIN,29,222,4.044869919929835,222,-4.044869919929844,8.089739839859678,1.1511642024491078,2.340347772934196,2.0330268852654507
JAX,5,40,4.092847335991048,40,-4.092847335991067,8.185694671982116,2.279135833605976,2.4363026050566337,1.0689589313340722
DET,29,221,4.160120214802576,223,-4.146512709715146,8.306632924517722,1.1405884231899868,2.557240857592239,2.2420364836249806
