gb,n_as_host,hfa_as_host,home_win_pct_as_host,n_as_visitor,hfa_as_visitor,n_all,hfa_all,hfa_all_se
1 to 3 games back,566,3.663709039415443,0.5750883392226148,596,3.6460642354968695,1023,3.6551839160913526,0.22982010752024382
3+ games back,758,3.6582063326807837,0.46899736147757254,754,3.6084282234429574,1263,3.659704870459513,0.2109221708295862
Holding a spot,776,4.040857121002922,0.7164948453608248,764,4.094187597674831,1306,3.949242388170486,0.21295065827731097
Within 1 game,355,3.5644542932521057,0.5676056338028169,341,3.595007703895145,613,3.5738537217009134,0.31237146759510137
