week_index,n,hfa,home_win_pct,raw_margin,hfa_se
1,425,0.8957832804264168,0.5470588235294118,1.1670588235294117,0.5811724647734485
2,427,2.464913621056107,0.5679156908665105,2.2833723653395785,0.5391146635931012
3,415,1.9332178665229538,0.5578313253012048,2.4819277108433737,0.5861605473409328
4,389,2.4712607690897332,0.5642673521850899,2.4473007712082264,0.6070167631963979
5,378,2.629283503957977,0.5370370370370371,2.4735449735449735,0.5913399810688157
6,374,2.0982029419528994,0.5467914438502673,1.1684491978609626,0.6152640554438371
7,370,2.3368399886280318,0.6040540540540541,2.3162162162162163,0.6350855689091035
8,365,2.628409009348962,0.6,3.4794520547945207,0.6157988620682869
9,369,1.1378424421206605,0.5338753387533876,0.6775067750677507,0.5836845878021585
10,379,0.8710796573551648,0.5422163588390502,1.2585751978891822,0.6338915897416171
11,395,1.9690263026200279,0.5708860759493671,2.0253164556962027,0.539774082628988
12,416,1.8553642006002595,0.5540865384615384,1.7019230769230769,0.5284574564943687
13,419,2.6261565971325704,0.5381861575178998,2.279236276849642,0.5776633632367709
14,415,3.5240100202884497,0.5855421686746988,3.7397590361445783,0.5801954341432225
15,429,2.8375960670991316,0.5501165501165501,2.699300699300699,0.5661607454773699
16,429,2.554090211119994,0.5571095571095571,1.8484848484848484,0.604274942094946
17,427,2.7424154495698723,0.6018735362997658,3.9484777517564402,0.6298207795385161
18,80,4.196385110470706,0.5875,4.725,1.2878390988683908
