window,n,hfa,home_win_pct,raw_margin,hfa_se
2015-2019,1260,1.7221667049571912,0.5619047619047619,1.776190476190476,0.32404903557543246
2020 (limited or no fans),253,0.09990366685245232,0.5039525691699605,0.1383399209486166,0.7241958667458828
2021-2025,1333,2.0269231686676106,0.5393848462115529,2.0600150037509377,0.31643811992319254
