status,n_as_host,hfa_as_host,home_win_pct_as_host,n_as_visitor,hfa_as_visitor,n_all,hfa_all,hfa_all_se
alive,1563,3.812935177171893,0.6301983365323096,1572,3.808929132002657,2114,3.8117090001772427,0.1656806978588686
clinched,134,3.8442390626286347,0.7313432835820896,129,4.180423569765688,254,4.156209961032697,0.4816148409061951
eliminated,541,3.6243981923716566,0.45748613678373384,533,3.579622094293932,940,3.7434862285355317,0.2417718018755899
longshot,217,3.742492986631192,0.4976958525345622,221,3.677901829037668,419,3.630557468627281,0.37254487155177524
