season,date,week,game_type,home_franchise,away_franchise,home_score,away_score,neutral_site,overtime,source,margin,game_uid,week_index,n_weeks,phase,home_conf,away_conf,indoor,div_game,home_win,decade,phase_label,adj_margin,home_status,away_status,home_games_back,away_games_back
1970,1970-10-04,,REG,DEN,KC,26,13,False,,fivethirtyeight,13,G000031,3,14,1,AFC,AFC,,,1.0,1970s,Early (first third),17.121883223150974,alive,alive,-1.0,0.0
1970,1970-10-04,,REG,BUF,NYJ,34,31,False,,fivethirtyeight,3,G000032,3,14,1,AFC,AFC,,,1.0,1970s,Early (first third),10.406746271316942,alive,alive,1.0,0.0
1970,1970-10-04,,REG,PHI,WSH,21,33,False,,fivethirtyeight,-12,G000033,3,14,1,NFC,NFC,,,0.0,1970s,Early (first third),-4.571105620734368,alive,alive,2.0,2.0
1970,1970-10-04,,REG,GB,MIN,13,10,False,,fivethirtyeight,3,G000034,3,14,1,NFC,NFC,,,1.0,1970s,Early (first third),19.909496843453617,alive,alive,1.0,0.0
1970,1970-10-04,,REG,NO,NYG,14,10,False,,fivethirtyeight,4,G000035,3,14,1,NFC,NFC,,,1.0,1970s,Early (first third),13.833161220345469,alive,alive,2.0,2.0
1970,1970-10-04,,REG,LAR,LAC,37,10,False,,fivethirtyeight,27,G000036,3,14,1,NFC,AFC,,,1.0,1970s,Early (first third),16.69308967065903,alive,alive,0.0,0.5
1970,1970-10-04,,REG,ARI,DAL,20,7,False,,fivethirtyeight,13,G000037,3,14,1,NFC,NFC,,,1.0,1970s,Early (first third),12.53660693167865,alive,alive,1.0,0.0
1970,1970-10-05,,REG,DET,CHI,28,14,False,,fivethirtyeight,14,G000038,3,14,1,NFC,NFC,,,1.0,1970s,Early (first third),2.1576020881960325,alive,alive,0.0,0.0
1970,1970-10-10,,REG,NYJ,MIA,6,20,False,,fivethirtyeight,-14,G000039,4,14,1,AFC,AFC,,,0.0,1970s,Early (first third),-10.442214473592468,alive,alive,1.0,0.0
1970,1970-10-11,,REG,WSH,DET,31,10,False,,fivethirtyeight,21,G000040,4,14,1,NFC,NFC,,,1.0,1970s,Early (first third),32.08809274437414,alive,alive,1.0,-1.0
1970,1970-10-11,,REG,LAR,SF,6,20,False,,fivethirtyeight,-14,G000041,4,14,1,NFC,NFC,,,0.0,1970s,Early (first third),-17.106941990483605,alive,alive,-1.0,0.0
1970,1970-10-11,,REG,PIT,BUF,23,10,False,,fivethirtyeight,13,G000042,4,14,1,AFC,AFC,,,1.0,1970s,Early (first third),8.146105880475307,alive,alive,2.0,1.0
1970,1970-10-11,,REG,TEN,IND,20,24,False,,fivethirtyeight,-4,G000043,4,14,1,AFC,AFC,,,0.0,1970s,Early (first third),5.655369592114173,alive,alive,0.0,0.0
1970,1970-10-11,,REG,NYG,PHI,30,23,False,,fivethirtyeight,7,G000044,4,14,1,NFC,NFC,,,1.0,1970s,Early (first third),0.5516796376098156,alive,alive,2.0,2.0
1970,1970-10-11,,REG,KC,NE,23,10,False,,fivethirtyeight,13,G000045,4,14,1,AFC,AFC,,,1.0,1970s,Early (first third),-4.404526257112163,alive,alive,1.0,1.0
1970,1970-10-11,,REG,DAL,ATL,13,0,False,,fivethirtyeight,13,G000046,4,14,1,NFC,NFC,,,1.0,1970s,Early (first third),3.7510145429986377,alive,alive,0.0,0.0
1970,1970-10-11,,REG,ARI,NO,24,17,False,,fivethirtyeight,7,G000047,4,14,1,NFC,NFC,,,1.0,1970s,Early (first third),-8.28895801927483,alive,alive,0.0,1.0
1970,1970-10-11,,REG,CLE,CIN,30,27,False,,fivethirtyeight,3,G000048,4,14,1,AFC,AFC,,,1.0,1970s,Early (first third),2.9867675824326287,alive,alive,0.0,1.0
1970,1970-10-11,,REG,CHI,MIN,0,24,False,,fivethirtyeight,-24,G000049,4,14,1,NFC,NFC,,,0.0,1970s,Early (first third),-11.133428236129866,alive,alive,0.0,0.0
1970,1970-10-11,,REG,OAK,DEN,35,23,False,,fivethirtyeight,12,G000050,4,14,1,AFC,AFC,,,1.0,1970s,Early (first third),8.371863840366805,alive,alive,1.5,-1.0
