status,n_as_host,hfa_as_host,home_win_pct_as_host,n_as_visitor,hfa_as_visitor,n_all,hfa_all,hfa_all_se
alive,3647,3.0320189065839167,0.6222922950370168,3646,3.0352732135564247,4470,3.012218587759193,0.1551741571669803
eliminated,26,3.492975285503102,0.5,25,3.616307449962963,51,3.5534322288657796,1.3314173315619267
longshot,1099,2.8428195420205133,0.4335759781619654,1101,2.8300046898631863,1915,2.8514879548416485,0.23369512177560736
