div_game,phase,n,hfa,home_win_pct,raw_margin,hfa_se
0.0,1,1394,2.1138484592015776,0.5520086083213773,2.09038737446198,0.3129610533104756
0.0,2,1463,2.2698272341193544,0.5885167464114832,2.4299384825700616,0.3085732692343942
0.0,3,1362,3.067973498439443,0.5726872246696035,3.075624082232012,0.3290990811956571
1.0,1,708,1.8831309134645147,0.5557909604519774,1.9915254237288136,0.4411216268250571
1.0,2,795,1.2307112338705486,0.5283018867924528,0.9471698113207547,0.4042486532244004
1.0,3,1179,2.3103429474226136,0.5581000848176421,2.4495335029686176,0.34489561041519073
