season,n,hfa,home_win_pct,raw_margin,hfa_se,home_adv,home_adv_se,sigma,hfa_phase1,hfa_phase2,hfa_phase3
1970,182,2.197802197802198,0.5796703296703297,2.197802197802198,0.9513257807172487,2.197802197802201,1.0247224581449943,13.824261757984146,2.751461951200043,0.3782012132508029,3.574475379635316
1971,182,2.5274725274725274,0.5714285714285714,2.5274725274725274,0.9007139933403262,2.527472527472527,0.9702058706381469,13.088792783086294,-0.040044543023176275,3.3977900269402133,3.7111686844014047
1972,182,1.2307692307692308,0.5082417582417582,1.2307692307692308,0.9093198621120875,1.2307692307692262,0.9794756993141062,13.213849609009783,1.98893680817991,-0.12779125676226985,1.982795656372188
1973,182,4.129697348072494,0.6181318681318682,4.258241758241758,0.9535698374051329,4.1296973480724954,1.0288017253142567,13.85687143563808,4.312712449947359,5.6559246299670365,2.4570579846780594
1974,182,2.5164835164835164,0.5467032967032966,2.5164835164835164,0.8090367074307918,2.516483516483524,0.8714554996532975,11.756577443857887,2.020261937386277,1.0287872706684542,4.40115702557637
1975,182,1.9505494505494505,0.554945054945055,1.9505494505494505,0.8994462952536751,1.9505494505494507,0.9688403671209819,13.07037113349455,1.1500167234401606,2.9726317677191947,1.5688933150671382
1976,196,3.479591836734694,0.5739795918367347,3.479591836734694,0.8114955990663608,3.4795918367346963,0.8742765578175874,12.239871809446223,4.692483267444465,3.2668195623034553,2.722050966598116
1977,196,3.25,0.576530612244898,3.25,0.8011819044981354,3.2500000000000053,0.8631649493309062,12.084309290632685,3.827669331941692,3.4780191940051997,2.5598453404414467
1978,224,3.40625,0.5825892857142857,3.40625,0.7594526905886154,3.4062500000000018,0.8100747975071657,12.124089399728366,1.3749308421285173,4.4453816109777256,4.233072955744798
1979,224,4.522321428571429,0.5892857142857143,4.522321428571429,0.8282253321189381,4.522321428571429,0.8834315508008175,13.22199275105215,5.5359619366307555,3.879273160852554,4.213494561621052
1980,224,1.9910714285714286,0.546875,1.9910714285714286,0.7922207669361825,1.9910714285714275,0.8450270639760373,12.647207023799345,0.4782490925953236,2.7045742943178053,2.657170987096202
1981,224,2.5357142857142856,0.6227678571428571,2.5357142857142856,0.8345248438670416,2.535714285714285,0.8901509630393647,13.322559704800709,2.1073583131169134,2.634690287573363,2.810197594662865
1983,224,1.7098214285714286,0.5334821428571429,1.7098214285714286,0.8250218580693771,1.709821428571429,0.8800145458653209,13.170851704021974,-0.4271682951787681,1.2260954086954339,3.893751214926588
1984,224,2.2857142857142856,0.578125,2.2857142857142856,0.8086601957804066,2.2857142857142856,0.862562280003512,12.909650106110854,4.958012444561158,0.15997439600840246,1.8302490614301286
1985,224,4.558035714285714,0.6428571428571429,4.558035714285714,0.800660296791629,4.558035714285716,0.8540291394488461,12.78193775255587,4.636004622285195,4.2434914367584,4.755181855558909
1986,224,2.46875,0.53125,2.46875,0.8357089290793143,2.4687500000000018,0.8914139746797866,13.34146273213657,1.3609338385181877,3.102369137475118,2.863914186672245
1987,168,2.6428833975538986,0.5684523809523809,3.0654761904761907,0.917290223074231,2.642883397553903,1.0110444443996907,12.985408704035986,8.123223385122577,1.4990858172516492,1.5786351218991714
1988,224,2.8348214285714284,0.5870535714285714,2.8348214285714284,0.8766437532452505,2.8348214285714284,0.9350773520147346,13.994956325483797,1.310182961566098,3.273840690374586,3.73950409957324
1989,224,3.3392857142857144,0.5736607142857143,3.3392857142857144,0.8196547140555197,3.3392857142857166,0.8742896492995482,13.085169297926612,2.967583258072163,3.1275333717062304,3.825498046613243
