gb,n_as_host,hfa_as_host,home_win_pct_as_host,n_as_visitor,hfa_as_visitor,n_all,hfa_all,hfa_all_se
1 to 3 games back,1414,3.001084440580636,0.5378359264497878,1400,3.003299987243741,2388,2.978005608695157,0.21028964608332676
3+ games back,1125,2.8578453636476664,0.4351111111111111,1126,2.847462566419576,1949,2.879983060420982,0.23120109076949028
Holding a spot,1465,3.188085900971441,0.7006825938566553,1497,3.192564514452816,2495,3.1594054585622326,0.20632815152268016
Within 1 game,768,2.7912678494887526,0.6282552083333334,749,2.7806636533372795,1362,2.709232648023962,0.2889272709683248
